img_name,total_objects,total_area
img_0.tif,57,50817
img_1.tif,15,27466
img_10.tif,8,624
img_100.tif,129,163818
img_1000.tif,8,10754
img_1001.tif,6,260500
img_1002.tif,16,8559
img_1003.tif,16,82162
img_1004.tif,12,237278
img_1005.tif,10,328248
img_1006.tif,22,46560
img_1007.tif,87,63867
img_1008.tif,15,220722
img_1009.tif,18,219087
img_101.tif,84,24520
img_1010.tif,12,383745
img_1011.tif,0,0
img_1012.tif,4,2623
img_1013.tif,2,19250
img_1014.tif,24,38163
img_1015.tif,92,235684
img_1016.tif,51,130165
img_1017.tif,116,345508
img_1018.tif,4,5035
img_1019.tif,37,122354
img_102.tif,163,648890
img_1020.tif,19,28295
img_1021.tif,48,155336
img_1022.tif,118,184671
img_1023.tif,77,343790
img_1024.tif,221,220778
img_1025.tif,85,233364
img_1026.tif,13,19683
img_1027.tif,39,65655
img_1028.tif,122,374881
img_1029.tif,69,171966
img_103.tif,133,459033
img_1030.tif,186,300925
img_1031.tif,4,40
img_1032.tif,46,22235
img_1033.tif,34,17978
img_1034.tif,118,210813
img_1035.tif,5,3758
img_1036.tif,347,542534
img_1037.tif,226,428058
img_1038.tif,110,66328
img_1039.tif,112,37497
img_104.tif,119,15776
img_1040.tif,238,95873
img_1041.tif,577,522365
img_1042.tif,83,155176
img_1043.tif,252,113248
img_1044.tif,57,119759
img_1045.tif,37,49308
img_1046.tif,72,82219
img_1047.tif,125,350353
img_1048.tif,249,355008
img_1049.tif,150,406294
img_105.tif,19,342636
img_1050.tif,0,0
img_1051.tif,88,30821
img_1052.tif,53,95361
img_1053.tif,271,461630
img_1054.tif,376,340540
img_1055.tif,65,198835
img_1056.tif,96,87652
img_1057.tif,236,442057
img_1058.tif,25,28119
img_1059.tif,399,296461
img_106.tif,41,286928
img_1060.tif,57,8018
img_1061.tif,157,159072
img_1062.tif,673,492734
img_1063.tif,300,76355
img_1064.tif,200,53216
img_1065.tif,95,389288
img_1066.tif,5,1189
img_1067.tif,19,34350
img_1068.tif,42,78710
img_1069.tif,145,378797
img_107.tif,29,29478
img_1070.tif,201,78441
img_1071.tif,81,41302
img_1072.tif,28,29032
img_1073.tif,10,276
img_1074.tif,330,236621
img_1075.tif,151,67238
img_1076.tif,253,435724
img_1077.tif,301,440091
img_1078.tif,22,15350
img_1079.tif,122,94693
img_108.tif,9,12331
img_1080.tif,2,42
img_1081.tif,71,26438
img_1082.tif,275,361935
img_1083.tif,239,70938
img_1084.tif,68,44237
img_1085.tif,12,267515
img_1086.tif,0,0
img_1087.tif,10,258830
img_1088.tif,12,33144
img_1089.tif,25,8809
img_109.tif,17,272876
img_1090.tif,54,371737
img_1091.tif,34,6021
img_1092.tif,68,241185
img_1093.tif,1,258245
img_1094.tif,97,526448
img_1095.tif,177,334388
img_1096.tif,73,39431
img_1097.tif,75,39342
img_1098.tif,39,34807
img_1099.tif,26,4712
img_11.tif,38,76789
img_110.tif,2,58
img_1100.tif,90,392885
img_1101.tif,21,58327
img_1102.tif,30,270629
img_1103.tif,19,8360
img_1104.tif,4,840
img_1105.tif,10,6241
img_1106.tif,2,41
img_1107.tif,1,220157
img_1108.tif,1,256822
img_1109.tif,0,0
img_111.tif,225,401999
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,51,281174
img_1113.tif,0,0
img_1114.tif,18,13133
img_1115.tif,39,282547
img_1116.tif,6,849
img_1117.tif,5,404
img_1118.tif,18,31880
img_1119.tif,23,258398
img_112.tif,106,333571
img_1120.tif,33,285709
img_1121.tif,41,301689
img_1122.tif,29,20926
img_1123.tif,7,14
img_1124.tif,9,20
img_1125.tif,123,393230
img_1126.tif,97,328039
img_1127.tif,20,71406
img_1128.tif,12,21730
img_1129.tif,64,40547
img_113.tif,12,3755
img_1130.tif,13,12589
img_1131.tif,106,399205
img_1132.tif,45,25378
img_1133.tif,123,239817
img_1134.tif,39,28972
img_1135.tif,24,10882
img_1136.tif,17,5714
img_1137.tif,0,0
img_1138.tif,12,3857
img_1139.tif,18,263210
img_114.tif,15,5697
img_1140.tif,0,0
img_1141.tif,10,13006
img_1142.tif,18,177569
img_1143.tif,5,4632
img_1144.tif,19,313648
img_1145.tif,82,33588
img_1146.tif,37,21344
img_1147.tif,14,7566
img_1148.tif,102,307756
img_1149.tif,85,25878
img_115.tif,12,285728
img_1150.tif,154,334696
img_1151.tif,14,1698
img_1152.tif,15,12751
img_1153.tif,31,14695
img_1154.tif,173,283658
img_1155.tif,165,312348
img_1156.tif,159,331121
img_1157.tif,28,62706
img_1158.tif,30,4016
img_1159.tif,156,123554
img_116.tif,42,9421
img_1160.tif,176,269823
img_1161.tif,72,256666
img_1162.tif,24,5249
img_1163.tif,166,46632
img_1164.tif,24,2989
img_1165.tif,23,293332
img_1166.tif,23,8625
img_1167.tif,14,48876
img_1168.tif,20,12852
img_1169.tif,43,371102
img_117.tif,12,250706
img_1170.tif,84,30235
img_1171.tif,95,324145
img_1172.tif,25,31127
img_1173.tif,69,14663
img_1174.tif,201,94918
img_1175.tif,46,92776
img_1176.tif,49,68001
img_1177.tif,106,427567
img_1178.tif,29,277570
img_1179.tif,27,21547
img_118.tif,0,0
img_1180.tif,271,426368
img_1181.tif,237,94032
img_1182.tif,0,0
img_1183.tif,215,356920
img_1184.tif,49,54878
img_1185.tif,405,418044
img_1186.tif,347,407405
img_1187.tif,221,100784
img_1188.tif,76,35107
img_1189.tif,90,63902
img_119.tif,8,1731
img_1190.tif,0,0
img_1191.tif,9,261298
img_1192.tif,4,2297
img_1193.tif,0,0
img_1194.tif,4,256717
img_1195.tif,19,517933
img_1196.tif,1,2
img_1197.tif,7,3483
img_1198.tif,7,8354
img_1199.tif,37,276381
img_12.tif,77,516828
img_120.tif,11,340254
img_1200.tif,19,233203
img_1201.tif,50,363199
img_1202.tif,4,5170
img_1203.tif,25,318528
img_1204.tif,37,76615
img_1205.tif,83,359846
img_1206.tif,99,256901
img_1207.tif,56,170740
img_1208.tif,69,37168
img_1209.tif,3,780
img_121.tif,5,341693
img_1210.tif,96,349741
img_1211.tif,80,107493
img_1212.tif,126,438228
img_1213.tif,66,87256
img_1214.tif,7,5678
img_1215.tif,11,335880
img_1216.tif,2,6
img_1217.tif,4,5204
img_1218.tif,3,1214
img_1219.tif,10,17631
img_122.tif,4,7110
img_1220.tif,98,377228
img_1221.tif,54,89264
img_1222.tif,5,4719
img_1223.tif,67,149229
img_1224.tif,91,75806
img_1225.tif,6,44600
img_1226.tif,15,1991
img_1227.tif,31,308311
img_1228.tif,16,274414
img_1229.tif,43,146966
img_123.tif,44,8540
img_1230.tif,85,334743
img_1231.tif,34,85066
img_1232.tif,17,8079
img_1233.tif,7,2695
img_1234.tif,78,279158
img_1235.tif,79,352206
img_1236.tif,47,324270
img_1237.tif,140,27126
img_1238.tif,66,81129
img_1239.tif,13,4020
img_124.tif,0,0
img_1240.tif,330,137657
img_1241.tif,31,54171
img_1242.tif,74,295299
img_1243.tif,19,1183
img_1244.tif,36,34413
img_1245.tif,9,282958
img_1246.tif,10,55196
img_1247.tif,4,454
img_1248.tif,2,10
img_1249.tif,9,171504
img_125.tif,100,266681
img_1250.tif,83,104987
img_1251.tif,64,386498
img_1252.tif,23,19473
img_1253.tif,15,120751
img_1254.tif,43,501601
img_1255.tif,140,153513
img_1256.tif,0,0
img_1257.tif,125,178146
img_1258.tif,72,94985
img_1259.tif,72,130079
img_126.tif,15,74580
img_1260.tif,110,243223
img_1261.tif,54,312713
img_1262.tif,164,45482
img_1263.tif,313,362238
img_1264.tif,48,10586
