img_name,total_objects,total_area
img_0.tif,134,43132
img_1.tif,36,29379
img_10.tif,17,4723
img_100.tif,1,257567
img_1000.tif,12,22914
img_1001.tif,7,269111
img_1002.tif,0,0
img_1003.tif,22,24887
img_1004.tif,5,1264
img_1005.tif,10,328248
img_1006.tif,0,0
img_1007.tif,21,8534
img_1008.tif,57,67841
img_1009.tif,58,85890
img_101.tif,0,0
img_1010.tif,12,383745
img_1011.tif,0,0
img_1012.tif,44,56901
img_1013.tif,17,26646
img_1014.tif,55,59293
img_1015.tif,13,3041
img_1016.tif,54,31027
img_1017.tif,116,331737
img_1018.tif,5,4815
img_1019.tif,38,44587
img_102.tif,118,553022
img_1020.tif,0,0
img_1021.tif,0,0
img_1022.tif,33,46200
img_1023.tif,10,3626
img_1024.tif,221,220778
img_1025.tif,39,270150
img_1026.tif,14,3732
img_1027.tif,13,5884
img_1028.tif,122,374881
img_1029.tif,70,163911
img_103.tif,14,510127
img_1030.tif,187,301031
img_1031.tif,0,0
img_1032.tif,18,12810
img_1033.tif,0,0
img_1034.tif,41,15652
img_1035.tif,1,1606
img_1036.tif,152,385302
img_1037.tif,114,114793
img_1038.tif,0,0
img_1039.tif,3,474
img_104.tif,0,0
img_1040.tif,43,51574
img_1041.tif,595,535679
img_1042.tif,27,11886
img_1043.tif,36,17056
img_1044.tif,83,39153
img_1045.tif,54,34380
img_1046.tif,11,6864
img_1047.tif,45,53666
img_1048.tif,249,355008
img_1049.tif,31,7329
img_105.tif,18,343126
img_1050.tif,0,0
img_1051.tif,7,807
img_1052.tif,13,1494
img_1053.tif,249,192151
img_1054.tif,374,339952
img_1055.tif,44,44126
img_1056.tif,9,3158
img_1057.tif,124,185209
img_1058.tif,10,4793
img_1059.tif,399,296461
img_106.tif,1,257567
img_1060.tif,110,30021
img_1061.tif,0,0
img_1062.tif,684,266027
img_1063.tif,17,2275
img_1064.tif,15,11820
img_1065.tif,141,170107
img_1066.tif,43,15495
img_1067.tif,41,22134
img_1068.tif,41,32726
img_1069.tif,145,379058
img_107.tif,76,26845
img_1070.tif,55,30256
img_1071.tif,45,12268
img_1072.tif,53,93712
img_1073.tif,0,0
img_1074.tif,324,234698
img_1075.tif,18,572
img_1076.tif,159,417252
img_1077.tif,301,440091
img_1078.tif,0,0
img_1079.tif,35,28386
img_108.tif,18,1074
img_1080.tif,0,0
img_1081.tif,41,6609
img_1082.tif,283,355843
img_1083.tif,81,85953
img_1084.tif,121,57394
img_1085.tif,12,267515
img_1086.tif,0,0
img_1087.tif,10,258856
img_1088.tif,0,0
img_1089.tif,1,81
img_109.tif,30,22709
img_1090.tif,54,371737
img_1091.tif,0,0
img_1092.tif,0,0
img_1093.tif,1,257567
img_1094.tif,101,349404
img_1095.tif,173,327990
img_1096.tif,4,528
img_1097.tif,4,528
img_1098.tif,0,0
img_1099.tif,0,0
img_11.tif,177,103479
img_110.tif,3,309
img_1100.tif,90,392885
img_1101.tif,60,30583
img_1102.tif,61,201715
img_1103.tif,34,28096
img_1104.tif,3,2806
img_1105.tif,37,36922
img_1106.tif,0,0
img_1107.tif,31,19711
img_1108.tif,1,256822
img_1109.tif,3,98
img_111.tif,178,407385
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,2,620
img_1113.tif,0,0
img_1114.tif,0,0
img_1115.tif,39,282547
img_1116.tif,46,34041
img_1117.tif,0,0
img_1118.tif,5,2537
img_1119.tif,27,201194
img_112.tif,34,261859
img_1120.tif,26,263009
img_1121.tif,41,301689
img_1122.tif,43,47119
img_1123.tif,1,149
img_1124.tif,0,0
img_1125.tif,123,393230
img_1126.tif,73,292136
img_1127.tif,5,329
img_1128.tif,49,33434
img_1129.tif,1,25
img_113.tif,72,44384
img_1130.tif,34,22139
img_1131.tif,127,157406
img_1132.tif,42,45965
img_1133.tif,123,239817
img_1134.tif,15,24825
img_1135.tif,60,121313
img_1136.tif,13,1070
img_1137.tif,0,0
img_1138.tif,9,2976
img_1139.tif,18,263210
img_114.tif,68,42747
img_1140.tif,0,0
img_1141.tif,32,5368
img_1142.tif,33,21572
img_1143.tif,14,5198
img_1144.tif,19,313648
img_1145.tif,156,20872
img_1146.tif,25,7808
img_1147.tif,12,766
img_1148.tif,3,257706
img_1149.tif,105,25833
img_115.tif,70,267163
img_1150.tif,195,355893
img_1151.tif,0,0
img_1152.tif,0,0
img_1153.tif,68,34196
img_1154.tif,6,258307
img_1155.tif,1,257567
img_1156.tif,181,332504
img_1157.tif,0,0
img_1158.tif,0,0
